MAIN_ID,IDS,Z_VALUE,FLUX_B,FLUX_V,SCRIPT_NUMBER_ID
GRB 121201A,GRB 121201A,3.3850000,,,0
1B 910718B,1B 910718B|2B 910718B|3B 910718B|4B 910718B|GRB 910718B|Trigger   548|[STK2001] 08455a,,,,0
[STK2001] 08869a,[STK2001] 08869a,,,,0
GRB 071117,GRB 071117,1.3310000,,,0
GRB 960921,GRB 960921|Trigger  5609|[STK2001] 10347d,,,,0
2B 921022,2B 921022|3B 921022|4B 921022|GRB 921022|Trigger  1997|WATCH 921022|[STK2001] 08917a,,,,0
[STK2001] 09843b,[STK2001] 09843b,,,,0
[STK2001] 09460d,[STK2001] 09460d,,,,0
[STK2001] 09964d,[STK2001] 09964d,,,,0
3B 940409,3B 940409|4B 940409|Trigger  2917|[STK2001] 09451a,,,,0
[STK2001] 09621e,[STK2001] 09621e,,,,0
Fermi bn161012214,Fermi bn161012214,,,,0
Fermi bn130908677,Fermi bn130908677,,,,0
[KLK2001] 961013.15,[KLK2001] 961013.15,,,,0
GRB 130211A,GRB 130211A,,,,0
[STK2001] 08541c,[STK2001] 08541c,,,,0
[STK2001] 08774a,[STK2001] 08774a,,,,0
[STK2001] 09656e,[STK2001] 09656e,,,,0
GRB 900422,GRB 900422|PhebusB 900422,,,,0
PhebusB 951014,PhebusB 951014,,,,0
Fermi bn171215705,GRB 171215A|Fermi bn171215705,,,,0
[STK2001] 09563a,[STK2001] 09563a,,,,0
[STK2001] 11035a,[STK2001] 11035a,,,,0
Fermi bn130416690,Fermi bn130416690,,,,0
1B 910717,1B 910717|2B 910717|3B 910717|4B 910717|BSAS 910717 16386|GRB 910717|PhebusB 910717|Trigger   543|WATCH 910717|[STK2001] 08454c,,,,0
3B 940329B,3B 940329B|4B 940329B|Trigger  2897|WATCH 940329|[STK2001] 09440c,,,,0
GRB 970211,GRB 970211|Trigger  6082|[STK2001] 10490b,,,,0
[KLK2001] 960602.49,[KLK2001] 960602.49,,,,0
GRB 950503,GRB 950503,,,,0
2B 920517,2B 920517|3B 920517|4B 920517|BSAS 920517 11876|GRB 920517|Trigger  1609,,,,0
4B 950312,4B 950312|Trigger  3466|[STK2001] 09788a,,,,0
GRB 200216A,GRB 200216A,,,,0
GRB 960831,GRB 960831|Trigger  5591|[STK2001] 10326b,,,,0
Fermi bn161013948,Fermi bn161013948,,,,0
GRB 040903,GRB 040903,,,,0
[KLK2001] 940327.40,[KLK2001] 940327.40,,,,0
Fermi bn160521839,Fermi bn160521839,,,,0
GRB 031008,GRB 031008,,,,0
GRB 790628A,GRB 790628A|KONUS 28.06.79a|[ABH87] 57,,,,0
Trigger  5603,Trigger  5603|[STK2001] 10339b,,,,0
[STK2001] 08649b,[STK2001] 08649b,,,,0
Trigger  7745,Trigger  7745|[STK2001] 11419e,,,,0
Fermi bn130306991,GRB 130306A|Fermi bn130306991,,,,0
Fermi bn110904531,GRB 110904C|Fermi bn110904531,,,,0
Fermi bn101011707,GRB 101011A|Fermi bn101011707,,,,0
Fermi bn140608153,Fermi bn140608153,,,,0
GRB 140824B,GRB 140824B,,,,0
[KLK2001] 920120.00,[KLK2001] 920120.00,,,,0
GRB 040831,GRB 040831,,,,0
[KLK2001] 970529.59,[KLK2001] 970529.59,,,,0
Fermi bn170717952,Fermi bn170717952,,,,0
GRB 210627B,GRB 210627B,,,,0
GRB 990611C,GRB 990611C|Trigger  7605|[STK2001] 11340d,,,,0
1B 920229,1B 920229|2B 920229|3B 920229|4B 920229|BSAS 920229 69679|GRB 920229|PhebusB 920229|Trigger  1453|[STK2001] 08681e,,,,0
Trigger  6658,Trigger  6658|[STK2001] 10897f,,,,0
2B 920723,2B 920723|3B 920723|4B 920723|PhebusB 920723a|Trigger  1721|WATCH 920723,,,,0
Trigger  6139,Trigger  6139|[STK2001] 10534b,,,,0
GRB 221014A,GRB 221014A,,,,0
GRB 961228A,GRB 961228A|Trigger  5729|[STK2001] 10445a,,,,0
1B 911210,1B 911210|2B 911210|3B 911210|4B 911210|BSAS 911210 75949|GRB 911210|Trigger  1159|[STK2001] 08600a,,,,0
[STK2001] 10668a,[STK2001] 10668a,,,,0
[STK2001] 10997i,[STK2001] 10997i,,,,0
BSAS 950403 84832,BSAS 950403 84832,,,,0
[STK2001] 09696b,[STK2001] 09696b,,,,0
Fermi bn090815300,GRB 090815|Fermi bn090815300|GRB 090815A,,,,0
GRB 040829,GRB 040829,,,,0
Trigger  7009,Trigger  7009|[STK2001] 11045a,,,,0
GRB 790605,GRB 790605|KONUS 05.06.79,,,,0
[STK2001] 10485d,[STK2001] 10485d,,,,0
[STK2001] 10219d,[STK2001] 10219d,,,,0
GRB 961220,GRB 961220|Trigger  5719|[STK2001] 10437b,,,,0
[STK2001] 10957c,[STK2001] 10957c,,,,0
Fermi bn170731751,Fermi bn170731751,,,,0
Fermi bn170412988,GRB 170412A|Fermi bn170412988,,,,0
Fermi bn110112934,GRB 110112B|Fermi bn110112934,,,,0
NTB 931209.89,NTB 931209.89,,,,0
Trigger  6616,Trigger  6616|[STK2001] 10870c,,,,0
GRB 160521A,GRB 160521A,,,,0
Fermi bn100722291,GRB 100722B|Fermi bn100722291,,,,0
Fermi bn090213236,GRB 090213|Fermi bn090213236|GRB 090213A,,,,0
Fermi bn180511606,Fermi bn180511606,,,,0
3B 940226B,3B 940226B|4B 940226B|Trigger  2848|[STK2001] 09409a,,,,0
GRB 890306,GRB 890306,,,,0
[STK2001] 11101b,[STK2001] 11101b,,,,0
[KLK2001] 971123.47,[KLK2001] 971123.47,,,,0
GRB 190219A,GRB 190219A,,,,0
GRB 190131A,GRB 190131A,,,,0
Fermi bn120716577,Fermi bn120716577,,,,0
[KLK2001] 961017.27,[KLK2001] 961017.27,,,,0
[STK2001] 09615c,[STK2001] 09615c,,,,0
Fermi bn170310883,Fermi bn170310883,,,,0
[KLK2001] 920617.21,[KLK2001] 920617.21,,,,0
Fermi bn090810781,GRB 090810B|Fermi bn090810781,,,,0
GRB 030226,GRB 030226A|GRB 030226|HETE Trigger 10893|XRF 030226,1.9860000,,,0
GRB 150716A,GRB 150716A,,,,0
GRB 111018A,GRB 111018A,,,,0
3B 940708,3B 940708|4B 940708|GRB 940708|Trigger  3067|[STK2001] 09541f,,,,0
GRB 880128B,GRB 880128B,,,,0
GRB 051107,GRB 051107,,,,0
[KLK2001] 950104.37,[KLK2001] 950104.37,,,,0
[STK2001] 11416c,[STK2001] 11416c,,,,0
3B 940415B,3B 940415B|4B 940415B|Trigger  2932|[STK2001] 09457b,,,,0
[KLK2001] 960609.87,[KLK2001] 960609.87,,,,0
[STK2001] 09093a,[STK2001] 09093a,,,,0
GRB 971115,GRB 971115|GRB 971115A|Trigger  6479|[STK2001] 10767a,,,,0
Fermi bn100727238,GRB 100727A|Fermi bn100727238,,,,0
Fermi bn120727681,Fermi bn120727681,,,,0
GRB 201109A,GRB 201109A,,,,0
[KLK2001] 931222.82,[KLK2001] 931222.82,,,,0
GRB 151004A,GRB 151004A,,,,0
GRB 990722B,GRB 990722B|Trigger  7667|[STK2001] 11381b,,,,0
GRB 001109,GRB 001109,,,,0
3B 930326B,3B 930326B|4B 930326B|Trigger  2267|[STK2001] 09072b,,,,0
GRB 150901A,GRB 150901A,,,,0
Fermi bn130624093,Fermi bn130624093,,,,0
GRB 980315,GRB 980315|Trigger  6642|[STK2001] 10887b,,,,0
GRB 110212A,GRB 110212A,,,,0
